id,title,album_id,artist_id,duration_ms,preview_url,cover_url,is_explicit
23232,Comedy,15136,4870,230666,,,0
23233,Ghost - Acoustic,15137,4871,149610,,,0
23234,To Begin Again,15138,4872,210826,,,0
23235,Can't Help Falling In Love,15139,4873,201933,,,0
23236,Hold On,15140,4874,198853,,,0
23237,Days I Will Remember,15141,4875,214240,,,0
23238,Say Something,15142,4876,229400,,,0
23239,I'm Yours,15143,4877,242946,,,0
23240,Lucky,15143,4877,189613,,,0
23241,Hunger,15144,4878,205594,,,0
23242,Give Me Your Forever,15145,4879,244800,,,0
23243,I Won't Give Up,15146,4877,240165,,,0
23244,Solo,15147,4880,198712,,,0
23245,Bad Liar,15148,4881,248448,,,0
23246,Hold On - Remix,15149,4874,188133,,,0
23247,Falling in Love at a Coffee Shop,15150,4882,244986,,,0
23248,ily (i love you baby),15151,4883,129750,,,0
23249,At My Worst,15152,4883,169728,,,0
23250,Lucky,15143,4877,189613,,,0
23251,Photograph,15153,4884,260186,,,0
23252,I'm Yours,15143,4877,242946,,,0
23253,Demons,15154,4884,174174,,,0
23254,Say Something,15155,4876,229400,,,0
23255,93 Million Miles,15156,4877,216386,,,0
23256,Unlonely,15157,4877,231266,,,0
23257,Bella Luna,15158,4877,302346,,,0
23258,Winter Wonderland,15159,4877,131760,,,0
23259,If It Kills Me,15160,4877,273653,,,0
23260,Winter Wonderland,15161,4877,131760,,,0
23261,Winter Wonderland,15162,4877,131760,,,0
23262,Winter Wonderland,15163,4877,131760,,,0
23263,Winter Wonderland,15164,4877,131760,,,0
23264,All I Want For Christmas Is A Real Good Tan,15165,4874,234186,,,0
23265,Party of One,15166,4885,259558,,,0
23266,Party of One,15167,4885,259558,,,0
23267,Party of One,15168,4885,259558,,,0
23268,Lonely This Christmas,15169,4886,257493,,,0
23269,Throwing Good After Bad,15170,4885,247791,,,0
23270,This Time Tomorrow,15171,4885,206267,,,0
23271,Lonely This Christmas,15172,4886,257493,,,0
23272,The Haves,15173,4887,306794,,,0
23273,When You're Wrong,15174,4885,266960,,,0
23274,You and Me on the Rock,15175,4885,230098,,,0
23275,You and Me on the Rock,15176,4885,230098,,,0
