dzr,artist,title,status
2457424,Scissor Sisters,Filthy/Gorgeous,exists
2457448,Daniel Bedingfield,All Your Attention,exists
2457471,Daniel Bedingfield,Sorry,exists
2457697,Finch,Reduced To Teeth,exists
2457804,The Stone Roses,Breaking Into Heaven,exists
2457806,The Stone Roses,Ten Storey Love Song,exists
2457807,The Stone Roses,Daybreak,exists
2457810,The Stone Roses,Begging You,exists
2457814,The Stone Roses,How Do You Sleep,exists
2457815,The Stone Roses,Love Spreads,exists
2458261,16 Horsepower,Black Soul Choir,exists
2459666,Bill Whelan,Riverdance (Album Version),exists
2460480,The Hellacopters,No Angel To Lay Me Away,exists
2460763,The Wallflowers,Closer To You,exists
2461103,Joe Strummer,X-Ray Style,exists
2461109,Joe Strummer,Yalla Yalla (Album Version),exists
2461260,Gabrielle,If You Love Me,exists
2461305,Burning Spear,Slavery Days (Album Version),exists
2461771,Robert Palmer,Flesh Wound,exists
2462813,McFly,Hypnotised,exists
2463125,Robbie Robertson,American Roulette,exists
2463230,Accept,Breaking Up Again,exists
2464270,Stefanie Heinzmann,My Man Is A Mean Man,exists
2465564,John Legend,Don't Let Me Be Misunderstood,exists
2466262,Alicia Keys,No One,exists
2466275,Alicia Keys,Saviour,exists
2466504,Terence Trent D'Arby,Seasons,exists
2475910,Ash,Kung Fu (2008 Remastered Version),exists
2477936,Alesana,Apology,exists
2482326,Jessica Simpson,You Don't Have To Let Go (Album Version),exists
2482333,Jessica Simpson,Loving You (Album Version),exists
2484670,Maureen McGovern;Mike Renzi,I Remember (Album Version),exists
2484996,Leona Lewis,Whatever It Takes,exists
2484999,Leona Lewis,Yesterday,exists
2485000,Leona Lewis,Take a Bow,exists
2485003,Leona Lewis,Here I Am,exists
2485005,Leona Lewis,The Best You Never Had,exists
2485007,Leona Lewis,Footprints in the Sand (Single Mix),exists
2485008,Leona Lewis,A Moment Like This,exists
2485009,Leona Lewis,Forgive Me,exists
2485011,Leona Lewis,Run,exists
2485118,Beyoncé,Single Ladies (Put a Ring on It),exists
2485126,Beyoncé,Hello,exists
2485128,Beyoncé,Ego,exists
2485130,Beyoncé,Scared of Lonely,exists
2485991,Johnny Winter,No Time To Live,exists
2487140,Kristian Leontiou,Story Of My Life,exists
2487141,Kristian Leontiou,Shining,exists
2487142,Kristian Leontiou,The Years Move On,exists
2487147,Kristian Leontiou,Some Say,exists
2487535,Secret Garden,Song From A Secret Garden (Album Version),exists
2487572,Dusty Springfield,I'd Rather Leave While I'm In Love,exists
2487753,Ronan Hardiman,Secret World,exists
2491663,Jimmy Buffett,He Went To Paris,exists
2495280,Phil Lynott,Yellow Pearl,exists
2495710,Lifehouse,Take Me Away,exists
2495712,Lifehouse,Empty Space,exists
2496217,Matt Costa,Cold December (Album Version),exists
2496227,Matt Costa,Behind The Moon (Album Version),exists
2496822,Del Amitri,Life Is Full,exists
2497110,Dina Carroll,Don't Be A Stranger,exists
2497875,John Hiatt,Sometime Other Than Now,exists
2497882,John Hiatt,Feels Like Rain,exists
2498525,Groove Coverage,She (Radio Edit),exists
2498716,Yeah Yeah Yeahs,The Sweets,exists
2498759,3 Doors Down,Be Somebody,exists
2498761,3 Doors Down,The Real Life,exists
2498762,3 Doors Down,Behind Those Eyes,exists
2498763,3 Doors Down,Never Will I Break,exists
2498765,3 Doors Down,Live For Today,exists
2498905,Edie Brickell & New Bohemians,What I Am,exists
2499850,SONATA ARCTICA,The Power Of One,exists
2500558,Tarot,Undead Son (Album Version),exists
2500622,Rick James,Give It To Me Baby,exists
2501632,Scissor Sisters,Ooh,exists
2501715,The Brothers Johnson,Treasure (Album Version),exists
2502422,S Club 7,Don't Stop Movin',exists
2503049,Richie Sambora,River Of Love,exists
2503275,Supertramp,Bloody Well Right,exists
2503277,Supertramp,Rudy,exists
2503280,Supertramp,Dreamer,exists
2503980,The Pussycat Dolls / Avant,Stickwitu (Avant Mix),exists
2504018,Matt Costa,TV Gods,exists
2504050,Scissor Sisters,I Don't Feel Like Dancin',exists
2504051,Scissor Sisters,She's My Man,exists
2504052,Scissor Sisters,I Can't Decide,exists
2504060,Scissor Sisters,Might Tell You Tonight,exists
2504236,The Mission,Like A Child Again (Remix),exists
2505140,The Rubettes,Sugar Baby Love,exists
2505650,The All-American Rejects,One More Sad Song,exists
2506155,Bernard Fanning,Not Finished Just Yet,exists
2506157,Bernard Fanning,Believe,exists
2506162,Bernard Fanning,The Strangest Thing,exists
2506339,Sugababes,Follow Me Home,exists
2506523,Lisa Loeb & Nine Stories,Snow Day,exists
2506526,Lisa Loeb & Nine Stories,Do You Sleep?,exists
2506529,Lisa Loeb & Nine Stories,Sandalwood,exists
2506531,Lisa Loeb & Nine Stories,Waiting For Wednesday,exists
2508137,American Hi-Fi,The Art Of Losing (Album Version Explicit),exists
2508388,The All-American Rejects,My Paper Heart,exists
2508394,The All-American Rejects,Don't Leave Me,exists
2508396,The All-American Rejects,Drive Away,exists
2508397,The All-American Rejects,Happy Endings,exists
2509028,Bernard Fanning,Thrill Is Gone,exists
2509029,Bernard Fanning,Wish You Well,exists
2509072,Jack Johnson and Friends / Matt Costa,Fall Line (Live feat. Matt Costa),exists
2509105,Baby Bash / Perla Cruz / Russell Lee,Shorty DooWop (Album Version),exists
2509159,Scissor Sisters,Get It Get It,exists
2509181,Tears For Fears,Pale Shelter,exists
2509182,Tears For Fears,I Believe,exists
2509183,Tears For Fears,Laid So Low (Tears Roll Down),exists
2509184,Tears For Fears,Mothers Talk (Album Version),exists
2509259,Bernard Fanning,Songbird,exists
2509262,Bernard Fanning,Wash Me Clean,exists
2509269,Bernard Fanning,Watch Over Me,exists
2509326,Sugababes,Push The Button,exists
2509331,Sugababes,Ugly,exists
2509336,Sugababes,2 Hearts,exists
2509370,10 Years,Wasteland (Album Version),exists
2509371,10 Years,Seasons To Cycles (Album Version),exists
2509378,10 Years,The Autumn Effect (Album Version),exists
2509574,Warren G,We Brings Heat,exists
2510548,Three Dog Night,Joy To The World,exists
2511224,3 Doors Down,Kryptonite,exists
2511523,The Impressions,It's Not Unusual,exists
2511549,James,Five-O,exists
2511792,Kim Richey,Hello Old Friend (Album Version),exists
2511794,Kim Richey,A Place Called Home (Album Version),exists
2511958,The Bravery,No Brakes,exists
2511966,The Bravery,The Ring Song,exists
2511967,The Bravery,Rites Of Spring,exists
2511969,Mariah Carey,It's Like That,exists
2511970,Mariah Carey,We Belong Together,exists
2511972,Mariah Carey,Mine Again,exists
