dzr,artist,title,status,preview
5646419,Selena Gomez & The Scene,I Won't Apologize,created,"https://cdnt-preview.dzcdn.net/api/1/1/9/1/d/0/91db2b7fa24c7c4f86789c97c2a6ffa4.mp3?hdnea=exp=1760581744~acl=/api/1/1/9/1/d/0/91db2b7fa24c7c4f86789c97c2a6ffa4.mp3*~data=user_id=0,application_id=42~hmac=a49051ae281af39b266d4320ed1da7140616de7422fc9ee79fa892e937aecc5a"
5646424,Selena Gomez & The Scene,The Way I Loved You,created,"https://cdnt-preview.dzcdn.net/api/1/1/6/e/6/0/6e696b182cf499de0b089904b69544a2.mp3?hdnea=exp=1760581744~acl=/api/1/1/6/e/6/0/6e696b182cf499de0b089904b69544a2.mp3*~data=user_id=0,application_id=42~hmac=10296bb08f0bea44b1c127b0c5a1ea9877edb2b827e08dbcf5d889f1d0fe1090"
5652658,The Cranberries,Everything I Said,created,
5657989,Melanie Fiona,Monday Morning,created,"https://cdnt-preview.dzcdn.net/api/1/1/c/8/2/0/c82e1635f902223c284c0dc7af874fe0.mp3?hdnea=exp=1760581745~acl=/api/1/1/c/8/2/0/c82e1635f902223c284c0dc7af874fe0.mp3*~data=user_id=0,application_id=42~hmac=8a4d008609884e28c74618c19bc3fbf55e10f74b93dc41e7adb41fd235a98f3d"
5664765,Paul McCartney,My Love,created,"https://cdnt-preview.dzcdn.net/api/1/1/4/d/e/0/4debb4ef888f960f5e3f2b1c2cfebf65.mp3?hdnea=exp=1760581745~acl=/api/1/1/4/d/e/0/4debb4ef888f960f5e3f2b1c2cfebf65.mp3*~data=user_id=0,application_id=42~hmac=fe9cf2ac2fa4d18ce141ca388be3c5f70b4dc5267fe3adce7ab59497e85c739b"
5664790,Paul McCartney / Wings,Helen Wheels,created,
5704751,Joshua Radin,I'd Rather Be With You [Radio Edit],created,
5704759,Joshua Radin,We Are Okay,created,
5722486,Emery,Fractions,created,"https://cdnt-preview.dzcdn.net/api/1/1/e/2/8/0/e28c937a56422c229ddf25cbf2c35a1e.mp3?hdnea=exp=1760581747~acl=/api/1/1/e/2/8/0/e28c937a56422c229ddf25cbf2c35a1e.mp3*~data=user_id=0,application_id=42~hmac=3d3640bac16e864bfdf3b0068d9f339a7ff0bd82da6cd9a7c795b5018491a5ea"
5723499,Doves,Here It Comes,created,"https://cdnt-preview.dzcdn.net/api/1/1/b/2/c/0/b2c8d6dd88d0aca43224a2365975c916.mp3?hdnea=exp=1760581747~acl=/api/1/1/b/2/c/0/b2c8d6dd88d0aca43224a2365975c916.mp3*~data=user_id=0,application_id=42~hmac=3c1cc2b4667f97ed6c526c830c7cc18be5db93fba50eb008a97f5caaf450d211"
5723506,Doves,Jetstream,created,"https://cdnt-preview.dzcdn.net/api/1/1/2/8/6/0/286129be9ed028ec6a0af9cd11545acc.mp3?hdnea=exp=1760581748~acl=/api/1/1/2/8/6/0/286129be9ed028ec6a0af9cd11545acc.mp3*~data=user_id=0,application_id=42~hmac=766f8f2db05f019ca5481f6e410ca938eee3b81cceeaa761716a979cdbafa734"
5728925,Iggy & The Stooges,Your Pretty Face Is Going to Hell (Bowie Mix),created,
5740531,Rufus Wainwright,Give Me What I Want And Give It To Me Now!,created,
5740536,Rufus Wainwright,The Dream,created,
5740537,Rufus Wainwright,What Would I Ever Do With A Rose?,created,
5740539,Rufus Wainwright,Zebulon,created,
5743495,Plan B,Writing's on the Wall,created,"https://cdnt-preview.dzcdn.net/api/1/1/5/9/1/0/591af937684217c7ad404845f3974c6d.mp3?hdnea=exp=1760581750~acl=/api/1/1/5/9/1/0/591af937684217c7ad404845f3974c6d.mp3*~data=user_id=0,application_id=42~hmac=937b5a6320e540faff5fc98f7504acaf53aaf4eaccdca9a4691b0e5a21b36cf2"
5743496,Plan B,Stay Too Long,created,"https://cdnt-preview.dzcdn.net/api/1/1/9/8/c/0/98cd23207241d01380ec0985cbc94b5e.mp3?hdnea=exp=1760581751~acl=/api/1/1/9/8/c/0/98cd23207241d01380ec0985cbc94b5e.mp3*~data=user_id=0,application_id=42~hmac=9f850867a7407dd6161a1b5265f4e3df27350cbbe592d989a73bf6def5d13d9b"
5743497,Plan B,She Said,created,"https://cdnt-preview.dzcdn.net/api/1/1/3/b/e/0/3bec0e6c459283760fdfed7074d2cba1.mp3?hdnea=exp=1760581752~acl=/api/1/1/3/b/e/0/3bec0e6c459283760fdfed7074d2cba1.mp3*~data=user_id=0,application_id=42~hmac=568881c385c36f11a28985f2e115af773889773366e9ac572751f130467ddc88"
5747711,Kate Nash,Do-Wah-Doo,created,"https://cdnt-preview.dzcdn.net/api/1/1/8/5/f/0/85ff41725bcde1268bc95a1a410f8345.mp3?hdnea=exp=1760581752~acl=/api/1/1/8/5/f/0/85ff41725bcde1268bc95a1a410f8345.mp3*~data=user_id=0,application_id=42~hmac=6d7267bfe3f93775631bc10ace683140d971f8f2192564eb962b2eab8a04931b"
5778173,Pavement,Here,created,
5785671,Jamie Lidell,Music Will Not Last,created,"https://cdnt-preview.dzcdn.net/api/1/1/a/8/f/0/a8f2d7a9cf27c6b7bc8f9d5a3f69a6ca.mp3?hdnea=exp=1760581753~acl=/api/1/1/a/8/f/0/a8f2d7a9cf27c6b7bc8f9d5a3f69a6ca.mp3*~data=user_id=0,application_id=42~hmac=a15cd73ab6e26ce9a7ec974f1e25bc00c71ced95f35e05ca53aa8073e684e2c7"
5785678,Gravenhurst,Animals,created,"https://cdnt-preview.dzcdn.net/api/1/1/4/a/2/0/4a29a00ccca3ef694909e7e651866969.mp3?hdnea=exp=1760581753~acl=/api/1/1/4/a/2/0/4a29a00ccca3ef694909e7e651866969.mp3*~data=user_id=0,application_id=42~hmac=6beabf2ef9120ddf6621b3db4491f96746f3413933acdf65c99d96ff594cac0b"
