dzr,artist,title,status,preview
213754,Dark Tranquillity,Insanity's Crescendo,would_create,
216752,Anorexia Nervosa,Stabat Mater Dolorosa,would_create,"https://cdnt-preview.dzcdn.net/api/1/1/2/9/2/0/292db9ba58b0551d557b8d718251152b.mp3?hdnea=exp=1760497533~acl=/api/1/1/2/9/2/0/292db9ba58b0551d557b8d718251152b.mp3*~data=user_id=0,application_id=42~hmac=50a391b962fd3e3958a7c39b3296e7d24b7273bbb0966639c021fd1fd53bb24f"
239138,Jimmy Witherspoon,Ain't Nobody's Business,would_create,"https://cdnt-preview.dzcdn.net/api/1/1/3/d/d/0/3dd4fa746e983fb20aae1545c8ecbdc1.mp3?hdnea=exp=1760497533~acl=/api/1/1/3/d/d/0/3dd4fa746e983fb20aae1545c8ecbdc1.mp3*~data=user_id=0,application_id=42~hmac=7856c6ae95607d86ea4a34b4a37bce01c780f4937d3b827b18217a3b67361b5d"
254391,Uniting Nations,Out of touch (Radio Edit),would_create,
266313,The Walkmen,Brandy alexander,would_create,"https://cdnt-preview.dzcdn.net/api/1/1/b/a/b/0/babc1f51b7d2d8cd96f2596f303a950f.mp3?hdnea=exp=1760497534~acl=/api/1/1/b/a/b/0/babc1f51b7d2d8cd96f2596f303a950f.mp3*~data=user_id=0,application_id=42~hmac=5388fc0990b0d9b459fc27c33ecd06176e836fd716146f91da6b8262459cfe71"
283306,Duke Ellington,Caravan,would_create,"https://cdnt-preview.dzcdn.net/api/1/1/0/9/9/0/099d2df6f218898558c0ffc3109ec8c3.mp3?hdnea=exp=1760497534~acl=/api/1/1/0/9/9/0/099d2df6f218898558c0ffc3109ec8c3.mp3*~data=user_id=0,application_id=42~hmac=5e70c995ab85ec29f18f1410ec9f93d445eed24b7cb11303ccbbd02f3ac3ebf6"
286183,Art Tatum,Tea for two,would_create,"https://cdnt-preview.dzcdn.net/api/1/1/5/d/7/0/5d7dedba531e4558bfc4cc46b1151ec2.mp3?hdnea=exp=1760497535~acl=/api/1/1/5/d/7/0/5d7dedba531e4558bfc4cc46b1151ec2.mp3*~data=user_id=0,application_id=42~hmac=5021e8c539f9270d2e5279f707b65e6775e14dcd8e94cf7605d5d89aeb1ed4fc"
301623,Ella Fitzgerald,Lullaby of Birdland,would_create,"https://cdnt-preview.dzcdn.net/api/1/1/d/6/1/0/d617884f81ac7265337f5981d2f8821e.mp3?hdnea=exp=1760497535~acl=/api/1/1/d/6/1/0/d617884f81ac7265337f5981d2f8821e.mp3*~data=user_id=0,application_id=42~hmac=7d29c28df723357aed4c938c3c010c89b0b4809b01d52c675b472c06b23eb513"
327203,cLOUDDEAD,Pop Song,would_create,
327207,cLOUDDEAD,Son Of A Gun,would_create,
364962,Boney M,Rasputin,would_create,"https://cdnt-preview.dzcdn.net/api/1/1/5/6/1/0/5615cf01cb62a54ad3690825af373cb1.mp3?hdnea=exp=1760497537~acl=/api/1/1/5/6/1/0/5615cf01cb62a54ad3690825af373cb1.mp3*~data=user_id=0,application_id=42~hmac=c47bc39272b7dbda864efa8405035708f6e64bc5cce28864de558621867a6aac"
365070,Leona Lewis,Better in Time,would_create,"https://cdnt-preview.dzcdn.net/api/1/1/a/2/9/0/a29039890219ee3630f27027cd382524.mp3?hdnea=exp=1760497537~acl=/api/1/1/a/2/9/0/a29039890219ee3630f27027cd382524.mp3*~data=user_id=0,application_id=42~hmac=5837720158535e1467deae44600d79fcc0199ba2bbbdabe409c6f687fd2da765"
365073,Leona Lewis,I Will Be,would_create,"https://cdnt-preview.dzcdn.net/api/1/1/d/b/a/0/dba00e73a09fe25de5b05d0004847aad.mp3?hdnea=exp=1760497538~acl=/api/1/1/d/b/a/0/dba00e73a09fe25de5b05d0004847aad.mp3*~data=user_id=0,application_id=42~hmac=e102880405838ffc132d2b497ef1030bc769aae857a32b9cd4a942c75a7dc80c"
365137,Leona Lewis,Bleeding Love,would_create,"https://cdnt-preview.dzcdn.net/api/1/1/7/b/4/0/7b4d3e368b71ce745c7f59e1ed0d9533.mp3?hdnea=exp=1760497538~acl=/api/1/1/7/b/4/0/7b4d3e368b71ce745c7f59e1ed0d9533.mp3*~data=user_id=0,application_id=42~hmac=989f724f51f34b8f89ff514e8dd22e70ad86977a464ec4ae03e6fb7f61f5343e"
365268,Mario,How Do I Breathe,would_create,
