id,title,artist,found_preview_url
1,Demo Track 1,Demo Artist,"https://cdnt-preview.dzcdn.net/api/1/1/5/b/a/0/5bad601874af5b939d552f707f31fc93.mp3?hdnea=exp=1760062807~acl=/api/1/1/5/b/a/0/5bad601874af5b939d552f707f31fc93.mp3*~data=user_id=0,application_id=42~hmac=198e6985b6de7415522aabb8145e2316b2abe8776b2799f2c53e96138d2d82d4"
87138,My Funny Valentine (Live),Chet Baker,"https://cdnt-preview.dzcdn.net/api/1/1/7/4/6/0/7464d0b679810c699160d2cc5a8658a6.mp3?hdnea=exp=1760062807~acl=/api/1/1/7/4/6/0/7464d0b679810c699160d2cc5a8658a6.mp3*~data=user_id=0,application_id=42~hmac=5288f860c917e382ff35dec6dea85c1a7d5a0ed0fec9c7c8911439078de1eb59"
87139,out of body,Khalid,"https://cdnt-preview.dzcdn.net/api/1/1/a/a/e/0/aae93705cc992e07b681034a2ac4caf8.mp3?hdnea=exp=1760062808~acl=/api/1/1/a/a/e/0/aae93705cc992e07b681034a2ac4caf8.mp3*~data=user_id=0,application_id=42~hmac=2e2cbb96bc36ffcb0619b21a56fba0d8bf6766df5e47b4c2a1ecac837aaaaf63"
87140,Golden,HUNTR/X,"https://cdnt-preview.dzcdn.net/api/1/1/4/2/4/0/4248b99b2d0450e4cb0e4c811e422d1b.mp3?hdnea=exp=1760062809~acl=/api/1/1/4/2/4/0/4248b99b2d0450e4cb0e4c811e422d1b.mp3*~data=user_id=0,application_id=42~hmac=eb1fafc99120898dce99b58042a8c7d38e057bf2012b6e09838a24636f7fb20d"
87141,Cheap Thrills (feat. Sean Paul),Sia,"https://cdnt-preview.dzcdn.net/api/1/1/e/8/6/0/e866403b8d6ca920e2eddb25e8e78f43.mp3?hdnea=exp=1760062809~acl=/api/1/1/e/8/6/0/e866403b8d6ca920e2eddb25e8e78f43.mp3*~data=user_id=0,application_id=42~hmac=d5fcc409bf88fea4ab3a26e63ffa3abac73001ac32cb4a7a586056ea3d37f195"
87142,1950,King Princess,"https://cdnt-preview.dzcdn.net/api/1/1/7/4/8/0/7486cfb8a53a405719bfccd609bd94cc.mp3?hdnea=exp=1760062810~acl=/api/1/1/7/4/8/0/7486cfb8a53a405719bfccd609bd94cc.mp3*~data=user_id=0,application_id=42~hmac=1922730097bc426cc738f5af0ccea4c5550b77fa655fed97dfc7dc52faf8d5d2"
87143,La vie de rêve,Jul,"https://cdnt-preview.dzcdn.net/api/1/1/3/7/e/0/37e44c15977b59a0b7741ab6c1011747.mp3?hdnea=exp=1760062810~acl=/api/1/1/3/7/e/0/37e44c15977b59a0b7741ab6c1011747.mp3*~data=user_id=0,application_id=42~hmac=f64783c2d47fa351e885a1cb38ac1d48be8bcaca2ccc3f645e29ee5febbedc6e"
87144,Slow Dancing (Piano Ver.),V,"https://cdnt-preview.dzcdn.net/api/1/1/2/d/8/0/2d806cdb834991f646f97bfc7b89cb24.mp3?hdnea=exp=1760062811~acl=/api/1/1/2/d/8/0/2d806cdb834991f646f97bfc7b89cb24.mp3*~data=user_id=0,application_id=42~hmac=5148019a63866788e6b9d2774e1539ad9d9fa1392ea99606359b9196af2a39ec"
87145,Love Me Again,V,"https://cdnt-preview.dzcdn.net/api/1/1/8/1/c/0/81c1f458ceb70f4034481413df01b557.mp3?hdnea=exp=1760062811~acl=/api/1/1/8/1/c/0/81c1f458ceb70f4034481413df01b557.mp3*~data=user_id=0,application_id=42~hmac=f76638ed3a9fb29c0d40e01ba63763a89bdf0df5ef0189e3c29a975e2e66332c"
87146,Slow Dancing (Cautious Clay Remix),V,"https://cdnt-preview.dzcdn.net/api/1/1/5/5/f/0/55ff63a6d5145f21dbb84990342f8175.mp3?hdnea=exp=1760062812~acl=/api/1/1/5/5/f/0/55ff63a6d5145f21dbb84990342f8175.mp3*~data=user_id=0,application_id=42~hmac=5432782fcbbdbb6ba55517fbeb9ccc9879ec974006e7ce794da1abe992f44fb1"
